dateff,mktrf,smb,hml,rf,umd
20160531,0.017800,-0.001900,-0.016500,0.00010,0.021400
20160630,-0.000500,0.005900,-0.014500,0.00020,0.041100
20160729,0.039500,0.025100,-0.012900,0.00020,-0.030800
20160831,0.005000,0.011700,0.031100,0.00020,-0.031700
20160930,0.002500,0.021300,-0.012100,0.00020,-0.005300
20161031,-0.020200,-0.044100,0.041200,0.00020,0.006900
20161130,0.048600,0.056700,0.082100,0.00010,-0.040700
20161230,0.018100,0.000900,0.036000,0.00030,-0.003800
20170131,0.019400,-0.011300,-0.027400,0.00040,-0.009800
20170228,0.035700,-0.020400,-0.016700,0.00040,-0.016300
20170331,0.001700,0.011300,-0.033300,0.00030,-0.009200
20170428,0.010900,0.007200,-0.021300,0.00050,0.004400
20170531,0.010600,-0.025200,-0.037500,0.00060,0.014600
20170630,0.007800,0.022300,0.014900,0.00060,-0.003200
20170731,0.018700,-0.014600,-0.002200,0.00070,0.016600
20170831,0.001600,-0.016500,-0.020700,0.00090,0.035500
20170929,0.025100,0.044500,0.030900,0.00090,-0.011800
