,tic,PERMNO,VOL,RET,risk_premium,SPREAD,size,s2p,epspxq,ceqq,mktrf,smb,hml,rf,umd,sprtrn,date_merge,sizeln
7187,PWR,85792,334714.0,0.145447,0.099447,0.25,4540914.38,0.00019357158634644857,0.2,2185.143,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,15.328638955024552
7188,COLM,85863,83891.0,-0.047013,-0.093013,3.5,1462767.56,0.00025883059643461056,1.27,970.121,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,14.195840788363933
7189,MAR,85913,654442.0,0.000437,-0.045563,0.3125,12126456.299999999,0.00033719661365538427,0.65,1429.0,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,16.31090009479202
7190,SEE,85926,205547.0,0.001584,-0.044416,0.5,4067744.76,0.00030734475090320076,0.5,2019.6,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,15.21859929081931
7191,SRE,86136,360333.0,0.063626,0.017626000000000003,0.25,14894689.440000001,0.00020879925107052114,1.12,8339.0,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,16.51651529396251
7192,MSTR,86211,44678.0,0.199216,0.15321600000000002,0.5,808330.3,0.00011780580290012634,1.54,103.329,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,13.602726041101251
7193,CCI,86339,363961.0,0.126413,0.080413,1.3125,10968403.950000001,3.420397367841289e-05,-0.3,3166.911,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,16.210529329414793
7194,WDR,86432,103643.0,0.0806,0.034600000000000006,0.3125,1371568.39,8.832953637842296e-05,0.37,47.702,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,14.131465453227763
7195,HT,86563,22322.0,0.054264,0.008264,0.2,392309.68,0.00015859154941065946,0.01,330.381,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,12.87980680688685
7196,EXTR,86822,186886.0,-0.022581,-0.068581,0.375,352398.08999999997,0.0002625723652474961,0.04,230.292,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,12.772516753052175
7197,LII,87034,150115.0,-0.078677,-0.124677,0.125,1950653.54,0.00045451433676940906,0.61,808.5,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,14.483675023108091
7198,MDRX,87078,249910.0,0.081395,0.035394999999999996,0.0625,636733.8,0.0001513756612260885,0.04,81.169,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,13.364106950821945
7199,DVN,87137,800461.0,0.086936,0.040936,0.125,50546575.800000004,6.324859695045851e-05,2.48,22005.0,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,17.73840576226397
7200,NAVI,87333,19780.0,0.760181,0.714181,0.08,136352.28,0.01912598747890391,-3.98,3658.535,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,11.822997109806096
7201,A,87432,485403.0,0.012739,-0.033261,0.0625,11027918.82,0.00013112174868186053,0.48,3234.0,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,16.21594068983649
7202,UPS,87447,1147840.0,-0.008354,-0.054354,0.5,50012211.21,0.0002677746029618113,-2.52,12183.0,0.046,-0.0172,-0.0109,0.0018,-0.0033,0.047547,2008-04,17.727777757774543
