,tic,PERMNO,VOL,RET,risk_premium,SPREAD,size,s2p,epspxq,ceqq,mktrf,smb,hml,rf,umd,sprtrn,date_merge,sizeln
0,AMT,10097,3464.0,0.042254,0.021654,0.03125,62881.5,0.004410518196925964,0.42,50.977,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,11.049007281780396
1,TT,61209,2564.0,0.1,0.0794,1.25,84199.5,0.019358582889447088,0.9,1795.5,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,11.340944261970506
2,WST,62594,37.0,-0.0625,-0.08310000000000001,0.125,2590.3125,0.22398841838581254,1.33,1854.5,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,7.859533803785846
3,MDC,66245,3949.0,-0.030345,-0.050945000000000004,0.125,134918.0,0.001681198950473621,0.17,205.033,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,11.812422465466547
4,RES,66683,5077.0,0.108434,0.087834,0.125,167267.5,0.0002321251886947554,0.23,104.361,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,12.027349606298506
5,SCHL,69382,10177.0,0.039604,0.019004,0.25,187989.375,0.0003298909845303757,1.34,42.605,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,12.144140724257552
6,Y,71271,840.0,-0.024051,-0.044650999999999996,1.5,1387414.5,0.0003611696432464847,6.18,1320.643,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,14.142952501082416
7,TECH,75694,5871.0,0.154639,0.134039,0.5,264656.0,4.728780001209117e-05,0.17,32.661,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,12.486186148482002
8,TFC,75803,1462.0,-0.034667,-0.055267000000000004,0.125,57690.0,0.008058571676200381,0.64,1670.394,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,10.962839127250936
9,CFR,75901,5561.0,-0.007092,-0.027692,1.0,273945.0,0.0004325430287101425,0.64,383.701,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,12.520682635294252
10,TYL,76185,4080.0,0.105263,0.08466299999999999,0.125,52171.875,0.0010122312069481881,0.22,93.362,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,10.86229883556612
11,MTRX,76279,20791.0,0.102041,0.08144100000000001,1.0,62842.5,0.0007679834506902176,0.07,72.006,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,11.04838687515555
12,AN,76391,25464.0,0.208333,0.18773299999999998,0.0625,128209.0,0.04512241730299745,1.73,3235.7,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,11.761417023812717
13,CATY,76515,5494.0,0.081967,0.061367,0.125,126720.0,0.0014129340277777777,0.89,2418.144,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,11.749735207048253
14,SCHL,77354,50653.0,-0.047273,-0.067873,0.75,983875.5,0.0002994382927514711,1.92,274.936,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,13.79925464363926
15,STAR,77405,115439.0,0.081699,0.061098999999999994,0.03125,1568484.875,2.4227202063392545e-08,-0.01,2.155,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,14.265620663595385
16,SPTN,77534,23776.0,0.024,0.0034000000000000002,0.5,152440.0,0.003714563106796117,1.59,128.745,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,11.934526354987797
17,REX,77780,13831.0,0.118421,0.09782099999999999,1.0,100427.5,0.0012118194717582337,0.7,55.594,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,11.51719135311728
18,CAKE,77902,13914.0,-0.027778,-0.048378000000000004,0.5,284970.0,0.00012046882127943292,0.19,76.206,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,12.560139190552338
19,FOSL,79089,17523.0,0.223529,0.202929,0.03125,171366.0,0.00034272842920999495,0.29,61.27,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,12.051556899074201
20,ALL,79323,226661.0,-0.074405,-0.095005,0.375,17299375.0,0.00033812782253694136,0.88,12680.0,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,16.666180931647776
21,DFS,79337,3064.0,-0.070833,-0.09143299999999999,0.25,269690.625,0.005001872052467527,0.31,30217.0,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,12.505030747678266
22,SGMS,79354,13420.0,-0.019565,-0.040165,0.375,2418656.625,0.00019845727377692566,-1.57,-2653.0,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,14.698722830363888
23,RC,79441,247.0,0.025225,0.004625000000000001,0.25,74269.25,0.0002477741460968032,4.14,136.631,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,11.215452282322332
24,CASH,79571,336.0,0.021978,0.0013780000000000008,0.5,41617.5,0.0001366252177569532,0.43,38.757,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,10.636276030868165
25,MAR,79764,58384.0,0.026316,0.005715999999999999,0.3125,6116711.25,0.00047574585117124825,0.68,1054.0,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,15.626535132598518
26,ROCK,79862,3722.0,0.2,0.1794,0.75,183132.0,0.00039883799663630607,0.22,70.244,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,12.117962483278875
27,ARWR,80071,1982.0,0.3125,0.2919,0.375,18398.625,0.0011578582638648268,-0.2,454.472,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,9.820031212543912
28,MAA,80189,4547.0,0.009378,-0.011222000000000001,0.125,224516.25,0.0019702048292718232,0.72,5871.624,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,12.321703366618415
29,DSPG,80264,723.0,0.148148,0.127548,0.75,24129.625,0.0013214047047975259,-0.06,156.238,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,10.091195617677762
30,CPRT,80320,10876.0,0.10101,0.08041000000000001,0.0625,341715.0,7.73041862370689e-05,0.2,115.846,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,12.741732335296165
31,FR,80683,14139.0,0.043716,0.023115999999999998,0.375,575984.375,4.8518677264465727e-05,0.24,306.006,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,13.26383581257398
32,GBX,80750,10623.0,-0.010417,-0.031017,0.75,74408.75,0.005415881868731836,-0.3,1280.407,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,11.217328821432842
33,AMED,80795,813.0,-0.185714,-0.206314,1.0,18411.0,0.0005345174080712617,0.05,4.274,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,9.820703591057207
34,L,81301,1297.0,0.059761,0.039161,0.125,932828.75,0.005145480346741028,6.32,8238.7,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,13.745976915286935
35,HA,81666,20384.0,0.106383,0.085783,0.625,27670.5,0.003345693066623299,-0.01,29.178,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,10.228122142729744
36,LECO,81678,1272.0,0.028571,0.007970999999999999,0.125,284013.0,0.0008847024608028505,0.54,329.946,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,12.556775290743603
37,POOL,82515,4902.0,0.155172,0.134572,0.3125,70735.25,0.0003018721217497641,-0.88,32.277,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,11.166699313205019
38,EME,82771,15517.0,-0.007634,-0.028234000000000002,0.0625,325000.0,0.007019981538461539,1.45,2052.668,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,12.691580461311874
39,ITT,82777,4564.0,0.25974,0.23914000000000002,0.25,254625.0,0.004636622484045164,0.32,822.3,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,12.447547153529108
40,AVNT,88605,16029.0,0.271186,0.250586,0.1,106762.5,0.009338484954923312,0.81,1697.1,0.0206,0.0522,-0.0405,0.0046,-0.0091,0.013431,1996-04,11.578362020254403
41,BCPC,10358,822.0,0.0,-0.0335,0.25,17888.0,0.010102470930232558,0.69,828.233,0.0335,-0.022,-0.0005,0.0043,0.0271,0.040098,1995-09,9.791885375954825
43,TT,61209,880.0,0.168317,0.134817,1.25,77585.0,0.015281111039505059,0.44,1604.709,0.0335,-0.022,-0.0005,0.0043,0.0271,0.040098,1995-09,11.259129388517584
44,MDC,66245,4043.0,-0.016129,-0.049629000000000006,0.125,146773.625,0.0012991366807217578,0.2,197.451,0.0335,-0.022,-0.0005,0.0043,0.0271,0.040098,1995-09,11.89664671280811
45,RES,66683,951.0,0.016129,-0.017371,0.125,114510.375,0.0003687002160284603,0.18,96.124,0.0335,-0.022,-0.0005,0.0043,0.0271,0.040098,1995-09,11.648420709225183
46,SCHL,69382,6393.0,-0.1,-0.1335,0.25,142857.0,0.0004341124341124341,1.34,42.605,0.0335,-0.022,-0.0005,0.0043,0.0271,0.040098,1995-09,11.86959940890846
47,Y,71271,380.0,0.01034,-0.02316,1.5,1205550.0,0.00032935340715855834,0.11,1111.087,0.0335,-0.022,-0.0005,0.0043,0.0271,0.040098,1995-09,14.002446452308973
48,TECH,75694,4655.0,-0.032051,-0.065551,0.5,177972.375,7.06626519986599e-05,0.19,27.947,0.0335,-0.022,-0.0005,0.0043,0.0271,0.040098,1995-09,12.089383620600765
49,TFC,75803,2533.0,0.00507,-0.028430000000000004,0.125,58859.0,0.0068912825566183585,-0.13,1490.866,0.0335,-0.022,-0.0005,0.0043,0.0271,0.040098,1995-09,10.98290003217661
50,CFR,75901,1674.0,0.055556,0.022056,1.0,226233.0,0.0005237653215932246,0.64,383.701,0.0335,-0.022,-0.0005,0.0043,0.0271,0.040098,1995-09,12.329320720617616
51,TYL,76185,2558.0,0.047619,0.014119,0.125,54648.0,0.0005576965305226175,-0.07,108.982,0.0335,-0.022,-0.0005,0.0043,0.0271,0.040098,1995-09,10.908667896411686
52,MTRX,76279,6282.0,-0.013889,-0.047389,1.0,41184.4375,0.0009651703996200021,-0.05,70.82,0.0335,-0.022,-0.0005,0.0043,0.0271,0.040098,1995-09,10.625815733396927
53,CATY,76515,693.0,0.052632,0.019131999999999996,0.125,115200.0,0.0015542274305555554,0.89,2418.144,0.0335,-0.022,-0.0005,0.0043,0.0271,0.040098,1995-09,11.654425027243928
54,SCHL,77354,17383.0,0.02449,-0.00901,0.75,935602.5,0.0002445835704799848,0.89,250.213,0.0335,-0.022,-0.0005,0.0043,0.0271,0.040098,1995-09,13.748945985770677
55,STAR,77405,89761.0,0.021807,-0.011693000000000002,0.03125,1540124.0,2.1426846150050257e-08,-0.02,2.245,0.0335,-0.022,-0.0005,0.0043,0.0271,0.040098,1995-09,14.247373490628812
56,SPTN,77534,10264.0,0.014493,-0.019007000000000003,0.5,133297.5,0.004248001650443557,1.59,128.745,0.0335,-0.022,-0.0005,0.0043,0.0271,0.040098,1995-09,11.800338751302256
57,REX,77780,2855.0,-0.084112,-0.11761200000000001,1.0,22092.875,0.005508563281148334,0.7,55.594,0.0335,-0.022,-0.0005,0.0043,0.0271,0.040098,1995-09,10.00301043733433
58,CMD,77854,14200.0,0.018634,-0.014866,1.5,582159.0,1.2086045221322696e-05,0.02,5.9,0.0335,-0.022,-0.0005,0.0043,0.0271,0.040098,1995-09,13.274498885278666
59,CAKE,77902,39546.0,-0.065502,-0.099002,0.5,290317.75,8.600920887544767e-05,0.17,66.568,0.0335,-0.022,-0.0005,0.0043,0.0271,0.040098,1995-09,12.57873129178803
60,FOSL,79089,29134.0,-0.163347,-0.196847,0.03125,173013.75,0.00020516866434026199,0.18,51.471,0.0335,-0.022,-0.0005,0.0043,0.0271,0.040098,1995-09,12.061126350090353
61,ALL,79323,240021.0,0.04428,0.010779999999999998,0.375,15860735.0,0.0003513960733849976,1.21,9633.4,0.0335,-0.022,-0.0005,0.0043,0.0271,0.040098,1995-09,16.579357116098432
62,DFS,79337,1905.0,0.045161,0.011660999999999998,0.25,209762.5,0.006430882545736249,0.31,30217.0,0.0335,-0.022,-0.0005,0.0043,0.0271,0.040098,1995-09,12.253731217309417
63,SGMS,79354,14931.0,-0.008869,-0.042369000000000004,0.375,2106040.5,0.00022791584492321018,-1.57,-2653.0,0.0335,-0.022,-0.0005,0.0043,0.0271,0.040098,1995-09,14.56032020226038
64,RC,79441,1032.0,0.168085,0.134585,0.25,71640.25,0.00025686677531136477,4.14,136.631,0.0335,-0.022,-0.0005,0.0043,0.0271,0.040098,1995-09,11.179412345839134
66,MAR,79764,45992.0,0.054789,0.021288999999999995,0.3125,4682526.875,0.00042989609109291016,0.4,852.0,0.0335,-0.022,-0.0005,0.0043,0.0271,0.040098,1995-09,15.35934845273933
67,ROCK,79862,1417.0,0.058824,0.025324,0.75,137200.5,0.0004283147656167434,0.26,63.073,0.0335,-0.022,-0.0005,0.0043,0.0271,0.040098,1995-09,11.82919863858215
68,ARWR,80071,410.0,-0.022901,-0.05640100000000001,0.375,56072.0,0.0003799222428306463,-0.2,454.472,0.0335,-0.022,-0.0005,0.0043,0.0271,0.040098,1995-09,10.934391858180161
69,MAA,80189,5212.0,0.037559,0.004059,0.125,236359.5,0.0018714839048144883,0.72,5871.624,0.0335,-0.022,-0.0005,0.0043,0.0271,0.040098,1995-09,12.373109230040214
71,CPRT,80320,5226.0,0.034091,0.0005910000000000012,0.0625,281463.0,5.686360196544483e-05,0.19,59.269,0.0335,-0.022,-0.0005,0.0043,0.0271,0.040098,1995-09,12.54775627920192
72,FR,80683,11711.0,0.030063,-0.0034370000000000026,0.375,377620.0,6.712303373761984e-05,0.22,287.675,0.0335,-0.022,-0.0005,0.0043,0.0271,0.040098,1995-09,12.841643677952524
73,GBX,80750,8488.0,0.101449,0.067949,0.75,85310.0,0.00472381901301137,-0.3,1280.407,0.0335,-0.022,-0.0005,0.0043,0.0271,0.040098,1995-09,11.35404695990274
74,L,81301,2874.0,0.074419,0.040919,0.125,790395.375,0.00455579209329255,3.64,6043.009,0.0335,-0.022,-0.0005,0.0043,0.0271,0.040098,1995-09,13.580288573931064
75,HA,81666,15148.0,0.066667,0.033167,0.625,24388.0,0.006137567656224373,-3.5,600.157,0.0335,-0.022,-0.0005,0.0043,0.0271,0.040098,1995-09,10.101846487027707
76,LECO,81678,1150.0,-0.072881,-0.106381,0.125,286697.25,0.0024199534526403725,1.09,789.271,0.0335,-0.022,-0.0005,0.0043,0.0271,0.040098,1995-09,12.56618205991754
77,AVNT,88605,6516.0,0.056604,0.023104,0.1,80395.0,0.012401268735617886,0.81,1697.1,0.0335,-0.022,-0.0005,0.0043,0.0271,0.040098,1995-09,11.294707264178513
78,NAVI,10362,1758.0,-0.012579,-0.019879,0.04,36672.060000000005,0.01949355994727321,1.01,941.155,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,10.509770436198728
79,CW,18091,28111.0,0.003021,-0.004279,0.625,1447488.92,0.00021961687969259205,1.16,638.22,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,14.185340833823135
80,ALE,24248,22209.0,0.003648,-0.003652,0.125,1414511.8800000001,0.00013594795683158207,0.89,602.8,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,14.162295068415956
81,ADP,44644,425600.0,-0.035026,-0.042326,0.25,25547225.2,5.0432091544720874e-05,0.34,5855.9,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,17.05603926597656
82,MKC,52090,78885.0,0.028647,0.021346999999999998,0.62,4117219.4699999997,0.00017902227592448455,0.66,799.9,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,15.230688607565359
83,MKC,52090,78885.0,0.028647,0.021346999999999998,0.62,4117219.4699999997,0.00017902227592448455,0.66,799.9,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,15.230688607565359
84,MKC,89155,347.0,0.033482,0.026181999999999997,0.62,497807.36000000004,0.0014806410254762001,0.66,799.9,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,13.11796845386057
85,MKC,89155,347.0,0.033482,0.026181999999999997,0.62,497807.36000000004,0.0014806410254762001,0.66,799.9,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,13.11796845386057
86,HD,66181,1426417.0,-0.056028,-0.063328,0.25,84565590.78,0.0002453007163867176,0.72,25792.0,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,18.25303801347124
87,MDC,66245,194990.0,-0.101539,-0.108839,0.125,2592068.58,0.0006711296195720253,4.43,1952.109,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,14.767966794437621
88,RES,66683,91809.0,0.211816,0.204516,0.125,1793785.8900000001,6.554126702379178e-05,0.34,232.501,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,14.399838966652274
89,SCHL,69382,3634.0,0.010903,0.0036029999999999994,0.25,468354.78,0.00013241244169644216,1.34,42.605,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,13.056981364627685
90,BDN,70121,111890.0,-0.095403,-0.102703,0.125,2582296.65,3.831627942513886e-05,0.1,1104.821,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,14.764189735346127
91,SON,71176,77785.0,-0.075288,-0.082588,0.375,3101964.12,0.0003078397953874463,0.39,1263.314,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,14.947546055920585
92,Y,71271,964.0,-0.01209,-0.01939,1.5,2311452.0,0.0001327161455223816,6.68,1868.327,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,14.653386456458271
93,CMD,75545,5929.0,0.098901,0.091601,1.5,60310.0,0.0007927706847952246,0.14,121.538,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,11.007253206445032
94,TFC,75631,8765.0,0.08642,0.07912,0.5,124715.36,0.01698410684938888,0.79,11129.114,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,11.733789299704126
95,TECH,75694,30999.0,-0.057865,-0.065165,0.5,2230647.54,2.153141594032377e-05,0.42,283.501,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,14.617802477966768
96,PTC,75962,118478.0,-0.451429,-0.458729,0.5,98953.92,0.004335856527967766,0.2,1494.929,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,11.50240956621368
97,TYL,76185,30481.0,0.002727,-0.004573000000000001,0.125,432100.25,0.00010253870484916406,0.08,112.197,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,12.976412900489633
98,EXPO,76261,6335.0,0.028436,0.021136,0.1875,266779.8,0.00014603054654063015,0.33,133.2,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,12.494178878013368
99,MTRX,76279,90460.0,-0.006098,-0.013398,1.0,237932.73,0.000532831275461766,0.11,70.383,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,12.37974326564258
100,PRA,76838,31854.0,-0.031154,-0.038454,0.25,1571553.72,0.00010937010794642132,0.87,765.046,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,14.267575318536235
101,WNC,77117,68213.0,-0.083544,-0.090844,0.375,571362.7000000001,0.0005964495057167714,0.63,278.702,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,13.255779488384178
102,OFC,77239,43648.0,-0.092698,-0.099998,0.25,1666059.0,4.726663341454294e-05,0.16,582.446,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,14.325971515247524
103,GILD,77274,1160225.0,-0.07586,-0.08316,0.5,26163420.0,2.3286940315906713e-05,0.61,3027.778,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,17.07987280995329
104,SMG,77300,66064.0,-0.03278,-0.04008,0.25,3008130.9,8.29418693182534e-05,-0.78,976.3,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,14.916829480392252
105,ROP,77338,117798.0,-0.022851,-0.030151,0.375,4091431.68,9.609496888873872e-05,0.59,1249.788,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,15.224405510777654
106,SCHL,77354,57608.0,-0.008221,-0.015521,0.75,1067306.0999999999,0.0006527649378186821,1.62,1008.0,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,13.88064836824223
107,STAR,77405,31297.0,-0.040816,-0.048116,0.03125,569379.62,0.00034774514760468596,0.54,2446.649,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,13.252302661123704
108,BKE,77584,8369.0,0.048107,0.040806999999999996,0.375,827982.0,0.00016675120956735775,0.85,284.467,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,13.626746694000664
109,FCF,77643,56486.0,-0.087312,-0.094612,0.375,943290.0,8.584528617922378e-05,0.17,521.045,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,13.757129043500443
110,REX,77780,33333.0,-0.073015,-0.080315,1.0,1069483.8599999999,0.00011379320862308293,0.7,55.594,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,13.88268671622663
111,CAKE,77902,298203.0,-0.157276,-0.164576,0.5,2496017.28,0.00013165774236947593,0.29,646.699,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,14.730206931524414
112,MTX,78015,30636.0,-0.020373,-0.027673,0.25,1137705.26,0.0002227800194929221,0.63,771.162,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,13.944523861880045
113,MTX,78033,99209.0,-0.037644,-0.044944,0.125,3722547.4600000004,0.00011599583474484432,0.91,1460.8,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,15.129918792955333
114,PDCO,78034,151406.0,-0.074432,-0.081732,0.375,4520507.58,0.00014195242207734558,0.33,1112.476,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,15.324134841963815
115,TCO,78089,104799.0,-0.012719,-0.020019,0.25,2171163.5,6.937432395119022e-05,1.09,326.084,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,14.590773756941333
116,AMCR,78876,28896.0,0.072727,0.065427,0.125,116933.28,0.03361730723708426,0.44,2996.559,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,11.66935879471161
117,FOSL,79089,119977.0,-0.124865,-0.132165,0.03125,1095289.86,0.0002959983579141324,0.29,526.149,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,13.906529598531378
118,ATR,79133,17098.0,-0.047783,-0.055083,0.125,1843731.39,0.00018376538027049593,0.68,809.388,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,14.427302005460005
119,TWI,79198,94936.0,0.117613,0.110313,0.125,379993.70999999996,0.0002541699966559973,-0.28,167.813,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,12.847909978933993
120,SKT,79238,29238.0,-0.037489,-0.044789,0.125,1014278.76,5.3033743898965206e-05,0.06,195.214,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,13.829688336594698
121,ALL,79323,658339.0,0.084053,0.076753,0.375,36057567.0,0.00024807552877874426,1.61,20186.0,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,17.40062730258132
122,SGMS,79436,2048.0,0.121739,0.114439,0.44,40886.55,0.011739801964215615,-1.57,-2653.0,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,10.618556437091847
123,CPT,79452,63006.0,-0.046079,-0.053379,0.375,3597053.2800000003,4.356204587550618e-05,0.2,1370.903,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,15.09562553491168
124,BFS,79558,4133.0,-0.059212,-0.066512,0.5,684294.15,4.7894607896326456e-05,0.35,11.414,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,13.436143148021978
125,CASH,79571,155.0,-0.014455,-0.021755,0.4,56542.5,0.00021261882654640316,0.21,42.173,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,10.942747846753967
126,MOV,79611,39318.0,-0.145147,-0.152447,0.25,366766.82,0.00038644717098455084,0.56,313.594,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,12.812481557257607
127,CAL,79641,780665.0,-0.03197,-0.03927,1.5,2283812.16,0.00027045832000474157,1.09,418.681,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,14.641356604694744
128,IT,79698,69683.0,0.005018,-0.002282,0.0625,1599878.28,0.0001808262563574524,0.13,146.588,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,14.28543810931616
129,ROCK,79862,34340.0,-0.056687,-0.063987,0.75,826557.97,0.0003625396050563762,0.17,494.025,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,13.625025332924537
130,MED,80054,38345.0,0.280607,0.273307,0.25,151130.52,6.791480635413681e-05,0.04,21.697,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,11.925899113304624
131,VMI,80128,39659.0,0.278544,0.27124400000000004,0.375,1333752.5,0.000233388878371362,0.47,328.675,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,14.10350695601059
132,CPRT,80320,55182.0,-0.021858,-0.029158,0.0625,2425897.5,4.8121983719427554e-05,0.25,735.157,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,14.701712116975248
133,ADC,80412,6547.0,-0.020561,-0.027861,0.125,242308.08000000002,3.437359579589752e-05,0.42,130.627,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,12.397965253338999
134,FR,80683,55630.0,-0.080815,-0.088115,0.375,1752811.56,5.2149359398337146e-05,-0.35,1043.562,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,14.376731662403673
135,AMED,80795,57787.0,-0.045755,-0.053055,0.5,528802.5199999999,0.00022483440510079268,0.46,192.599,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,13.178370333015065
136,CPE,80926,27518.0,-0.018078,-0.025378,0.75,402810.24,6.178591686249088e-05,0.22,228.048,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,12.90622086154909
137,RCII,81241,126702.0,-0.050562,-0.057862000000000004,5.0,1018948.32,0.0007031671635711613,1.04,592.08,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,13.834281594530125
138,DRI,81655,257819.0,-0.029978,-0.037278,0.125,5869195.2,0.00022577081777753788,0.37,1254.79,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,15.58522807848645
139,HA,81666,44582.0,-0.297505,-0.304805,0.625,168162.36000000002,0.001250666320334705,-0.43,48.067,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,12.03268522026539
140,LECO,81678,39091.0,0.015188,0.007888,0.125,2325697.92,0.00018075133334599191,0.71,652.294,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,14.65953073260356
141,POOL,82515,59064.0,-0.00405,-0.011349999999999999,0.3125,2473543.68,0.00012119899172348555,-0.02,272.98,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,14.721162368681366
142,SAM,82634,9702.0,0.037293,0.029993,0.125,265726.02,0.0002436795613767895,0.16,85.979,0.0073,-0.0143,0.0234,0.0036,0.0061,0.012187,2006-04,12.490221056949313
